text,size
拉麵,174.2068002
豬排,106.9172125
生魚片,70.16662785
麵食,54.03043996
炸雞,51.29308337
蓋飯,44.89760384
鰻魚,34.44880192
海鮮,29.0955314
牛肉,29.0955314
章魚,28.70733493
蕎麥,26.96586795
鮭魚,24.93902691
火鍋,22.96586795
燒肉,22.96586795
海膽,22.09769446
包飯,20.22440096
干貝,18.96586795
豬肉,18.96586795
布丁,15.46951346
豆腐,15.46951346
牛蒡,15.46951346
山藥,15.46951346
霜降,15.46951346
玉米,15.46951346
炒麵,13.48293397
大蒜,13.48293397
漢堡,13.48293397
紅豆,13.48293397
比目魚,11.48293397
番茄,11.48293397
梅子,11.48293397
牛排,11.48293397
泡菜,11.48293397
沙拉,11.48293397
燒酒,11.48293397
燒烤,11.48293397
鮮魚,11.48293397
蟹肉,11.48293397
百八,6.741466986
茶碗,6.741466986
炒飯,6.741466986
大腸,6.741466986
蛋白,6.741466986
花生,6.741466986
花椰菜,6.741466986
雞翅,6.741466986
焦糖,6.741466986
芥末,6.741466986
酒館,6.741466986
酒肴,6.741466986
苦瓜,6.741466986
煉乳,6.741466986
涼麵,6.741466986
麻豆腐,6.741466986
馬鈴薯,6.741466986
名古屋,6.741466986
牡蠣,6.741466986
奶油,6.741466986
牛奶,6.741466986
歐姆,6.741466986
秋田,6.741466986
肉醬,6.741466986
肉排,6.741466986
山本,6.741466986
上等,6.741466986
燒雞,6.741466986
什錦,6.741466986
水蜜桃,6.741466986
台座,6.741466986
態度,6.741466986
特地,6.741466986
特色,6.741466986
體貼,6.741466986
統一,6.741466986
推出,6.741466986
溫泉,6.741466986
溫馨,6.741466986
文化,6.741466986
喜愛,6.741466986
西湖,6.741466986
現場,6.741466986
享受,6.741466986
效率,6.741466986
笑容,6.741466986
心血,6.741466986
欣賞,6.741466986
新生,6.741466986
興安,6.741466986
野菜,6.741466986
銀杏,6.741466986
魷魚,6.741466986
真鯛,6.741466986
芝麻,6.741466986
紫蘇,6.741466986
佐野,6.741466986
